識別號,韻目識別號,舒聲韻母,促聲韻母,韻母,等呼,等,呼,舒聲標音,促聲標音,,,,
1,1,13,14,東一,獨洪,1,開,ong,ok,,,,
2,1,27,28,東二,獨細,3,開,iong,iok,,,,
3,2,13,14,冬,獨洪,1,開,ong,ok,,,,
4,3,27,28,鍾,獨細,3,開,iong,iok,,,,
5,4,41,42,江,獨洪,2,開,ang,ak,,,,
6,5,57,,支一,開細,3,開,i,,,,,
7,5,7,,支二,合細,3,合,ui,,,,,
8,6,57,,脂一,開細,3,開,i,,,,,
9,6,7,,脂二,合細,3,合,ui,,,,,
10,7,57,,之,獨細,3,開,i,,,,,
11,8,57,,微一,開細,3,開,i,,,,,
12,8,7,,微二,合細,3,合,ui,,,,,
13,9,53,,魚,獨細,3,開,u,,,,,
14,10,53,,虞,獨細,3,開,u,,,,,
15,11,21,,模,獨洪,1,開,oo,,,,,
16,12,77,,齊一,開細,4,開,e,,,,,
17,12,7,,齊二,合細,4,合,ui,,,,,
18,125,77,,祭一,開細,3,開,e,,,,,
19,125,49,,祭二,合細,3,合,ue,,,,,
20,126,31,,泰一,開洪,1,開,ai,,,,,
21,126,49,,泰二,合洪,1,合,ue,,,,,
22,13,31,,佳一,開洪,2,開,ai,,,,,
23,13,39,,佳二,合洪,2,合,ua,,,,,
24,14,31,,皆一,開洪,2,開,ai,,,,,
25,14,15,,皆二,合洪,2,合,uai,,,,,
26,129,31,,夬一,開洪,2,開,ai,,,,,
27,129,15,,夬二,合洪,2,合,uai,,,,,
28,15,49,,灰,合洪,1,合,ue,,,,,
29,16,31,,咍,開洪,1,開,ai,,,,,
30,132,49,,廢,合細,3,合,ue,,,,,
31,17,33,34,真,開細,3,開,in,it,,,,
32,18,1,2,諄,合細,3,開,un,ut,,,,
33,19,33,34,臻,開洪,2,開,in,it,,,,
34,20,1,2,文,合細,3,開,un,ut,,,,
35,21,33,34,殷,開細,3,開,in,it,,,,
36,22,3,4,元一,開細,3,開,ian,iat,,,,
37,22,19,20,元二,合細,3,合,uan,uat,,,,
38,23,2,2,魂,合洪,1,開,ut,ut,,,,
39,24,1,2,痕,開洪,1,開,un,ut,,,,
40,25,11,12,寒,開洪,1,開,an,at,,,,
41,26,19,20,桓,合洪,1,合,uan,uat,,,,
42,27,11,12,刪一,開洪,2,開,an,at,,,,
43,27,19,20,刪二,合洪,2,合,uan,uat,,,,
44,28,11,12,山一,開洪,2,開,an,at,,,,
45,28,19,20,山二,合洪,2,合,uan,uat,,,,
46,29,3,4,先一,開細,4,開,ian,iat,,,,
47,29,3,4,先二,合細,4,合,ian,iat,,,,
48,30,3,4,仙一,開細,3,開,ian,iat,,,,
49,30,19,20,仙二,合細,3,合,uan,uat,,,,
50,31,23,,蕭,開細,4,開,iau,,,,,
51,32,23,,宵,開細,3,開,iau,,,,,
52,33,45,,肴,開洪,2,開,au,,,,,
53,34,29,,豪,開洪,1,開,o,,,,,
54,35,29,,歌,開洪,1,開,o,,,,,
55,36,29,,戈一,合洪,1,開,o,,,,,
56,36,47,,戈二,開細,3,開,ia,,,,,
57,36,47,,戈三,合細,3,合,ia,,,,,
58,37,55,,麻一,開洪,2,開,a,,,,,
59,37,39,,麻二,合洪,2,合,ua,,,,,
60,37,47,,麻三,開細,3,開,ia,,,,,
61,38,27,28,陽一,開細,3,開,iong,iok,,,,
62,38,13,14,陽二,合細,3,合,ong,ok,,,,
63,39,13,14,唐一,開洪,1,開,ong,ok,,,,
64,39,13,14,唐二,合洪,1,合,ong,ok,,,,
65,40,17,18,庚一,開洪,2,開,ing,ik,,,,
66,40,13,14,庚二,合洪,2,合,ong,ok,,,,
67,40,17,18,庚三,開細,3,開,ing,ik,,,,
68,40,17,18,庚四,合細,3,合,ing,ik,,,,
69,41,17,18,耕一,開洪,2,開,ing,ik,,,,
70,41,13,14,耕二,合洪,2,合,ong,ok,,,,
71,42,17,18,清一,開細,3,開,ing,ik,,,,
72,42,17,18,清二,合細,3,合,ing,ik,,,,
73,43,17,18,青一,開細,4,開,ing,ik,,,,
74,43,17,18,青二,合細,4,合,ing,ik,,,,
75,44,17,18,蒸,開細,3,開,ing,ik,,,,
76,45,17,18,登一,開洪,1,開,ing,ik,,,,
77,45,13,14,登二,合洪,1,合,ong,ok,,,,
78,46,59,,尤,開細,3,開,iu,,,,,
79,47,65,,侯,開洪,1,開,io,,,,,
80,48,59,,幽,開細,3,開,iu,,,,,
81,49,5,6,侵,開細,3,開,im,ip,,,,
82,50,37,38,覃,開洪,1,開,am,ap,,,,
83,51,37,38,談,開洪,1,開,am,ap,,,,
84,52,43,44,鹽,開細,3,開,iam,iap,,,,
85,53,43,44,添,開細,4,開,iam,iap,,,,
86,54,37,38,咸,開洪,2,開,am,ap,,,,
87,55,37,38,銜,開洪,2,開,am,ap,,,,
88,56,43,44,嚴,開細,3,開,iam,iap,,,,
89,57,19,20,凡,合細,3,合,uan,uat,,,,
