韻目列號,韻攝,四聲韻目
1,通,東董送屋
2,通,冬∅宋沃
3,通,鍾腫用燭
4,江,江講絳覺
5,止,支紙寘∅
6,止,脂旨至∅
7,止,之止志∅
8,止,微尾未∅
9,遇,魚語御∅
10,遇,虞麌遇∅
11,遇,模姥暮∅
12,蟹,齊薺霽∅
13,蟹,∅∅祭∅
14,蟹,∅∅泰∅
15,蟹,佳蟹卦∅
16,蟹,皆駭怪∅
17,蟹,∅∅夬∅
18,蟹,灰賄隊∅
19,蟹,咍海代∅
20,蟹,∅∅廢∅
21,臻,真軫震質
22,臻,諄準稕術
23,臻,臻∅齔櫛
24,臻,文吻問物
25,臻,殷隱焮迄
26,臻,元阮願月
27,臻,魂混慁沒
28,臻,痕很恨麧
29,山,寒旱翰曷
30,山,桓緩換末
31,山,刪潸諫黠
32,山,山產襇鎋
33,山,先銑霰屑
34,山,仙獮線薛
35,效,蕭篠嘯∅
36,效,宵小笑∅
37,效,肴巧效∅
38,效,豪晧号∅
39,果,歌哿箇∅
40,果,戈果過∅
41,假,麻馬禡∅
42,宕,陽養漾藥
43,宕,唐蕩宕鐸
44,梗,庚梗敬陌
45,梗,耕耿諍麥
46,梗,清靜勁昔
47,梗,青迥徑錫
48,曾,蒸拯證職
49,曾,登等嶝德
50,流,尤有宥∅
51,流,侯厚猴∅
52,流,幽黝幼∅
53,深,侵寢沁緝
54,咸,覃感勘合
55,咸,談敢闞盍
56,咸,鹽琰豔葉
57,咸,添忝㮇怗
58,咸,咸豏陷洽
59,咸,銜檻鑑狎
60,咸,嚴儼釅業
61,咸,凡范梵乏
