識別號,廣韻聲母,聲母碼,聲母國際音標,白話字聲母,閩拼聲母,台羅聲母,方音聲母,十五音聲母
1,泥,l,l,l,l,l,ㄌ,柳
2,娘,l,l,l,l,l,ㄌ,柳
3,來,l,l,l,l,l,ㄌ,柳
4,幫,p,p,p,b,p,ㄅ,邊
5,並,p,p,p,b,p,ㄅ,邊
6,見,k,k,k,g,k,ㄍ,求
7,群,k,k,k,g,k,ㄍ,求
8,溪,kh,kʰ,kh,k,kh,ㄎ,去
9,端,t,t,t,d,t,ㄉ,地
10,定,t,t,t,d,t,ㄉ,地
11,知,t,t,t,d,t,ㄉ,地
12,澄,t,t,t,d,t,ㄉ,地
13,滂,ph,pʰ,ph,p,ph,ㄆ,頗
14,透,th,tʰ,th,t,th,ㄊ,他
15,徹,th,tʰ,th,t,th,ㄊ,他
16,精,c,ʦ,ch,z,ts,ㄗ,曾
17,從,c,ʦ,ch,z,ts,ㄗ,曾
18,莊,c,ʦ,ch,z,ts,ㄗ,曾
19,章,c,ʦ,ch,z,ts,ㄗ,曾
20,崇,c,ʦ,ch,z,ts,ㄗ,曾
21,俟,c,ʦ,ch,z,ts,ㄗ,曾
22,日,j,ʣ,j,zz,j,ㆡ,入
23,心,s,s,s,s,s,ㄙ,時
24,邪,s,s,s,s,s,ㄙ,時
25,生,s,s,s,s,s,ㄙ,時
26,書,s,s,s,s,s,ㄙ,時
27,禪,s,s,s,s,s,ㄙ,時
28,船,s,s,s,s,s,ㄙ,時
29,影,Ø,,,,,,英
30,以,Ø,,,,,,英
31,云,Ø,,,,,,英
32,明,b,b,b,bb,b,ㆠ,門
33,微,b,b,b,bb,b,ㆠ,門
34,疑,g,ɡ,g,gg,g,ㆣ,語
35,清,ch,ʦʰ,chh,c,tsh,ㄘ,出
36,初,ch,ʦʰ,chh,c,tsh,ㄘ,出
37,昌,ch,ʦʰ,chh,c,tsh,ㄘ,出
38,非,h,h,h,h,h,ㄏ,喜
39,敷,h,h,h,h,h,ㄏ,喜
40,奉,h,h,h,h,h,ㄏ,喜
41,曉,h,h,h,h,h,ㄏ,喜
42,匣,h,h,h,h,h,ㄏ,喜
