xu,tonk,hey,sjvcivk
合,1,唐,0
合,1,唐,1
合,1,戈,0
合,1,桓,0
合,1,桓,1
合,1,泰,0
合,1,灰,0
合,1,登,0
合,1,登,1
合,1,魂,0
合,1,魂,1
合,2,佳,0
合,2,刪,0
合,2,刪,1
合,2,夬,0
合,2,山,0
合,2,山,1
合,2,庚,0
合,2,庚,1
合,2,皆,0
合,2,耕,0
合,2,耕,1
合,2,麻,0
合,3,仙A,0
合,3,仙A,1
合,3,仙B,0
合,3,仙B,1
合,3,元,0
合,3,元,1
合,3,凡,0
合,3,凡,1
合,3,庚,0
合,3,庚,1
合,3,廢,0
合,3,微,0
合,3,戈,0
合,3,支A,0
合,3,支B,0
合,3,文,0
合,3,文,1
合,3,清,0
合,3,清,1
合,3,眞B,0
合,3,眞B,1
合,3,祭A,0
合,3,祭B,0
合,3,脂A,0
合,3,脂B,0
合,3,蒸,1
合,3,虞,0
合,3,諄,0
合,3,諄,1
合,3,陽,0
合,3,陽,1
合,4,先,0
合,4,先,1
合,4,青,0
合,4,青,1
合,4,齊,0
開,1,侯,0
開,1,冬,0
開,1,冬,1
開,1,咍,0
開,1,唐,0
開,1,唐,1
開,1,寒,0
開,1,寒,1
開,1,東,0
開,1,東,1
開,1,桓,1
開,1,模,0
開,1,歌,0
開,1,泰,0
開,1,痕,0
開,1,痕,1
開,1,登,0
開,1,登,1
開,1,覃,0
開,1,覃,1
開,1,談,0
開,1,談,1
開,1,豪,0
開,2,佳,0
開,2,刪,0
開,2,刪,1
開,2,咸,0
開,2,咸,1
開,2,夬,0
開,2,山,0
開,2,山,1
開,2,庚,0
開,2,庚,1
開,2,江,0
開,2,江,1
開,2,皆,0
開,2,耕,0
開,2,耕,1
開,2,肴,0
開,2,銜,0
開,2,銜,1
開,2,麻,0
開,3,之,0
開,3,仙A,0
開,3,仙A,1
開,3,仙B,0
開,3,仙B,1
開,3,侵A,0
開,3,侵A,1
開,3,侵B,0
開,3,侵B,1
開,3,元,0
開,3,元,1
開,3,咍,0
開,3,嚴,0
開,3,嚴,1
開,3,宵A,0
開,3,宵B,0
開,3,尤,0
開,3,幽,0
開,3,庚,0
開,3,庚,1
開,3,廢,0
開,3,微,0
開,3,戈,0
開,3,支A,0
開,3,支B,0
開,3,東,0
開,3,東,1
開,3,欣,0
開,3,欣,1
開,3,清,0
開,3,清,1
開,3,眞A,0
開,3,眞A,1
開,3,眞B,0
開,3,眞B,1
開,3,祭A,0
開,3,祭B,0
開,3,脂A,0
開,3,脂B,0
開,3,臻,0
開,3,臻,1
開,3,蒸,0
開,3,蒸,1
開,3,鍾,0
開,3,鍾,1
開,3,陽,0
開,3,陽,1
開,3,魚,0
開,3,鹽A,0
開,3,鹽A,1
開,3,鹽B,0
開,3,鹽B,1
開,3,麻,0
開,3,齊,0
開,4,先,0
開,4,先,1
開,4,添,0
開,4,添,1
開,4,蕭,0
開,4,青,0
開,4,青,1
開,4,齊,0
